Distance1(cm),Distance2(cm),Image_Win1,Image_Win2,Score
60,150,FG_4_5_0.5_BG_4_5_1.0.png,FG_4_5_0.5_BG_4_5_1.0.png,0.28841981291770935
60,150,FG_4_5_1.0_BG_2_15_0.5.png,FG_4_5_1.0_BG_2_15_0.5.png,0.2738361060619354
60,150,FG_4_5_1.0_BG_2_15_1.0.png,FG_4_5_1.0_BG_2_15_1.0.png,0.2668117880821228
60,150,FG_4_5_1.0_BG_2_5_0.5.png,FG_4_5_1.0_BG_2_5_0.5.png,0.345515638589859
60,150,FG_4_5_1.0_BG_2_5_1.0.png,FG_4_5_1.0_BG_2_5_1.0.png,0.32478368282318115
60,150,FG_4_5_1.0_BG_4_15_0.5.png,FG_4_5_1.0_BG_4_15_0.5.png,0.2714545428752899
60,150,FG_4_5_1.0_BG_4_15_1.0.png,FG_4_5_1.0_BG_4_15_1.0.png,0.26426100730895996
60,150,FG_4_5_1.0_BG_4_5_0.5.png,FG_4_5_1.0_BG_4_5_0.5.png,0.3282899856567383
60,150,FG_4_5_1.0_BG_4_5_1.0.png,FG_4_5_1.0_BG_4_5_1.0.png,0.30341973900794983
81,150,FG_2_50_0.5_BG_2_15_0.5.png,FG_2_50_0.5_BG_2_15_0.5.png,0.40264981985092163
81,150,FG_2_50_0.5_BG_2_15_1.0.png,FG_2_50_0.5_BG_2_15_1.0.png,0.3838472366333008
81,150,FG_2_50_0.5_BG_2_5_0.5.png,FG_2_50_0.5_BG_2_5_0.5.png,0.44810906052589417
81,150,FG_2_50_0.5_BG_2_5_1.0.png,FG_2_50_0.5_BG_2_5_1.0.png,0.4354371726512909
81,150,FG_2_50_0.5_BG_4_15_0.5.png,FG_2_50_0.5_BG_4_15_0.5.png,0.3911290764808655
81,150,FG_2_50_0.5_BG_4_15_1.0.png,FG_2_50_0.5_BG_4_15_1.0.png,0.3763311803340912
81,150,FG_2_50_0.5_BG_4_5_0.5.png,FG_2_50_0.5_BG_4_5_0.5.png,0.4361690580844879
81,150,FG_2_50_0.5_BG_4_5_1.0.png,FG_2_50_0.5_BG_4_5_1.0.png,0.4273204207420349
81,150,FG_2_50_1.0_BG_2_15_0.5.png,FG_2_50_1.0_BG_2_15_0.5.png,0.4029473066329956
81,150,FG_2_50_1.0_BG_2_15_1.0.png,FG_2_50_1.0_BG_2_15_1.0.png,0.38542038202285767
81,150,FG_2_50_1.0_BG_2_5_0.5.png,FG_2_50_1.0_BG_2_5_0.5.png,0.4560149013996124
81,150,FG_2_50_1.0_BG_2_5_1.0.png,FG_2_50_1.0_BG_2_5_1.0.png,0.4467637836933136
81,150,FG_2_50_1.0_BG_4_15_0.5.png,FG_2_50_1.0_BG_4_15_0.5.png,0.40514737367630005
81,150,FG_2_50_1.0_BG_4_15_1.0.png,FG_2_50_1.0_BG_4_15_1.0.png,0.386340469121933
